STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
AL,Autauga,15.4,4.2,29372,11.3,14.6,24.2,19.3,7.5,25,0.8,3.8,18.4,1.4,5.6,1,62.2
AL,Coffee,15.1,5.9,27577,13.8,16.3,23.7,17.7,9.7,29.4,1.4,0.9,13.6,1.4,6,1.2,69.1
AL,Dale,18.4,8.8,23837,14.2,16.1,23.4,21.3,8.2,31,1,1.2,18.2,1.7,5.5,2.6,72.5
AL,Lauderdale,15.2,5.3,27189,12.6,19.3,20,14.7,7.6,15.2,0.6,5.3,9.1,1.2,7,2.4,71.1
AL,Marshall,21.7,5.1,23833,19.1,16.8,24.9,15.5,9.2,18.8,4,1.6,14.8,2.6,4.8,1.1,75.7
AL,Morgan,15.3,5.2,25907,16.7,16.7,23,16.8,9.1,24,2.1,5.2,11.1,2.4,5.3,1.6,73
AL,Russell,20.1,7.8,22055,16.7,13.4,24.7,18.8,11.5,53,1,3.2,15.6,3.1,9.8,1,70.5
AL,St. Clair,13.2,5.3,24861,15.2,15.9,22.9,16.5,7.2,14,0.5,1.7,23.9,0.9,3,2.5,66
AL,Shelby,8.4,4,36576,7.8,14.3,24,11.2,6,21.9,1.6,7.6,8,1.1,2.9,1.4,48.2
AL,Talladega,19.9,8.8,22498,19,17.1,21.5,19.3,10.4,37.1,0.5,2.3,23.6,1.3,7.9,4.2,60.8
AR,Bradley,23.2,8,22411,18,18.4,23.7,21.4,10.7,44.3,3,2.4,17.6,3.5,9.3,1.8,78.1
AR,Cross,16.7,5.7,24486,17.2,18,24,19.9,10.8,27.1,0.1,1.4,15.7,2.1,7,1.3,71.5
AR,Faulkner,16.8,4.7,26163,8.7,11.8,23.5,14.6,7.7,19.7,0.7,9.1,12.1,1.9,4.8,4,77.5
AR,Grant,14.5,7.1,25907,8.5,17.2,22.9,19.7,8.3,7.3,0.1,3.2,26.4,1.7,2.5,0.9,65.5
AR,Madison,16.8,6.4,23875,20.3,18.4,23.7,19.1,6.1,10.4,1.4,1.4,20.6,2.9,5.4,0.5,63.7
AR,Sebastian,20.3,4.9,25084,16.8,15.2,24.2,18.8,10,30,3.4,9.3,4.2,3.5,6.7,1.5,64.3
CA,Butte,20.1,8.7,27537,10.7,17.7,20.1,17,7.9,27.6,2.5,7.5,13,3.2,7.2,2.7,72.5
CA,San Luis Obispo,13.3,4.6,35832,9.1,18.7,17.9,11.5,6.6,30.9,3.4,6.1,8,3.3,4.3,5.8,73.9
CA,Shasta,17.1,6.2,27983,9.2,19.9,21.6,17.8,8.6,19.8,1.2,4.5,11.9,3.3,6.8,1.8,70.7
CO,Elbert,4.4,2.7,43349,3.3,14.7,21.9,10,3.8,11.1,0.1,0.6,4.1,1.4,2,0.3,52.9
CO,Jackson,15.7,2.2,25467,12.4,22.2,19.1,6.7,2.4,20,1.7,0,16,0.7,1.6,0.8,68.8
