STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
AL,Blount,14.4,4.1,22656,19.8,17.8,23.4,14.2,7,12.9,1.7,0.9,25.2,1.6,4.2,0.9,50.1
AL,Butler,23.5,6.7,20430,15.4,19,22.8,17.7,10.5,48.1,0.5,1.3,26.2,1.8,7.8,1.6,59.6
AL,Calhoun,18.6,8.8,24706,15.9,16.8,21.9,20.8,10.4,27.5,1,3.7,14.7,1.7,5.8,2.7,74.6
AL,Chambers,16.6,5,22827,18.6,18.9,20.7,16.7,9.7,44.2,0.1,4,14,3,7.3,1.5,48.8
AL,Colbert,16.3,5.9,24918,15.6,19.3,21.3,18.7,8.2,21.3,0.3,2.2,9.3,0.4,6.1,0.8,73.4
AL,Covington,18.3,8.7,23071,17.1,20.5,21.9,20.9,9,16.6,0.4,1.3,21.6,2.1,5.2,1.8,61.5
AL,Cullman,15.8,5.5,22980,18.2,18,22.6,17.6,6.7,7.9,0.6,2.5,22.9,1.8,4.2,1.5,66.8
AL,Elmore,12.3,6.2,27475,13.6,14.5,22.5,17.9,9.2,26.8,0.7,2.6,15.1,1.4,4.7,5.4,75.9
AL,Etowah,17.3,6.5,24065,15.5,18.3,21.6,19.6,8.9,21.9,1.2,3.1,11,1.2,6.3,1.3,66.1
AL,Henry,13.5,6.7,24069,19.8,21.6,20.9,18.7,7.1,31.1,0.3,0.8,25.9,0.8,5.5,1.8,67.9
AL,Houston,18.3,7,25990,14.3,16.9,23.4,17.8,10.4,33.1,0.6,5.1,13.7,1.2,6.2,0.9,70
AL,Jackson,20.2,5.9,21608,17.5,19.1,21.4,18.8,7.4,10.7,0.4,1.4,19.6,2.2,4.6,1.3,78
AL,Lawrence,16.8,5.7,23557,21,17.4,21.8,20.5,7.3,23.5,0.2,0.8,22.5,1.5,5.5,0.7,78.7
AL,Limestone,13.7,6.9,27699,15.7,14.7,23,16.3,7.6,23.1,1,3.6,12.6,1.8,3.6,3.1,65.8
AL,Madison,13.2,5.8,35526,8.9,14.3,22.1,13.1,8.1,35.1,1.1,10.2,4.4,1.3,4.9,2.5,85.1
AL,Mobile,19.3,6.2,25215,13.8,15.3,23.7,14,10.8,42.8,0.7,9,7.7,2,6.7,2.2,74.2
AL,Randolph,17.7,5,23247,21.2,20,21.8,14.3,8.2,24.7,0.3,1.6,23.5,2.9,7,2.2,58.1
AZ,Pinal,14.2,7.8,23653,14.6,19.3,23.4,15.2,8.3,42.9,3.4,2.2,19.1,3.7,4.4,6.3,70.9
AR,Boone,14.9,4.4,23998,13,20.1,22.8,18.8,7.7,6,0,2.9,11.7,2.4,5.6,1.4,60
AR,Crawford,15.9,5.1,23851,14.8,16.1,24.8,20.2,8.8,15.4,1.2,2.4,12.2,3,3.9,1,67.2
AR,Franklin,21.9,3,20262,17.4,18.9,23.5,21,5.2,7.9,0.4,1.3,15.5,3.1,5.4,1.9,70.3
AR,Garland,18.6,7.1,26791,11.6,22.8,20.4,20.5,9.8,17.7,1.2,7.4,13.6,1.8,7.7,2.2,66.9
